Sample name	Total reads	Total base	Average length	Median length	Var of length	Std of length	Max length	Min length
Index009	317380	47207893	148.74	151.0	61.69	7.85	151	100
Index010	1719761	255906485	148.8	151.0	59.0	7.68	151	100
Index011	472224	70216251	148.69	151.0	62.92	7.93	151	100
Index012	486371	72286963	148.63	151.0	64.54	8.03	151	100
Index013	501736	74648523	148.78	151.0	60.55	7.78	151	100
Index014	366193	54413657	148.59	151.0	65.51	8.09	151	100
Index015	907171	134934816	148.74	151.0	60.96	7.81	151	100
Index016	736382	109535361	148.75	151.0	60.69	7.79	151	100
Index017	49067	7277289	148.31	151.0	72.77	8.53	151	100
Index018	282031	41873311	148.47	151.0	68.6	8.28	151	100
Index019	605280	89967698	148.64	151.0	63.6	7.97	151	100
Index020	531997	79009092	148.51	151.0	67.19	8.2	151	100
Index021	441829	65684027	148.66	151.0	64.41	8.03	151	100
Index022	221209	32861473	148.55	151.0	66.78	8.17	151	100
Index023	196860	29177746	148.22	151.0	75.88	8.71	151	100
Index024	109019	16158654	148.22	151.0	76.84	8.77	151	100
Index025	6015	882518	146.72	151.0	108.48	10.42	151	100
Index026	163562	24221760	148.09	151.0	81.42	9.02	151	100
Index027	443284	65825040	148.49	151.0	68.73	8.29	151	100
Index029	147988	21938982	148.25	151.0	76.72	8.76	151	100
Index030	191547	28428832	148.42	151.0	72.17	8.5	151	100
Index031	147851	21916021	148.23	151.0	77.11	8.78	151	100
Index032	288034	42681058	148.18	151.0	77.51	8.8	151	100
Index033	78123	11594153	148.41	151.0	71.72	8.47	151	100
Index034	147871	21936356	148.35	151.0	72.45	8.51	151	100
Index035	75278	11162308	148.28	151.0	75.43	8.69	151	100
Index036	6135594	912709404	148.76	151.0	60.04	7.75	151	100
Index037	6859722	1020262437	148.73	151.0	60.13	7.75	151	100
Index038	4276584	636016281	148.72	151.0	60.71	7.79	151	100
Index039	7261515	1080215498	148.76	151.0	59.59	7.72	151	100
Index040	9602757	1428503151	148.76	151.0	59.43	7.71	151	100
Index041	748287	111387666	148.86	151.0	58.25	7.63	151	100
Index042	5666625	842930215	148.75	151.0	59.38	7.71	151	100
Index043	8029046	1195023708	148.84	151.0	57.99	7.61	151	100
Index044	4341596	645825983	148.75	151.0	60.25	7.76	151	100
Index045	9025776	1343094039	148.81	151.0	58.2	7.63	151	100
Index046	4521426	673115116	148.87	151.0	57.31	7.57	151	100
Index047	5752341	856092749	148.83	151.0	57.82	7.6	151	100
Index049	364694	54272977	148.82	151.0	59.1	7.69	151	100
Index050	4540099	675304184	148.74	151.0	60.1	7.75	151	100
Index051	6790028	1010832959	148.87	151.0	56.84	7.54	151	100
Index052	8032300	1195960637	148.89	151.0	55.94	7.48	151	100
Index053	3902844	580565736	148.75	151.0	59.37	7.71	151	100
Index054	8750103	1302503279	148.86	151.0	57.59	7.59	151	100
Index055	6727508	1001219622	148.82	151.0	57.72	7.6	151	100
Index056	6241596	928789377	148.81	151.0	58.16	7.63	151	100
Index057	122527	18211081	148.63	151.0	64.76	8.05	151	100
Index058	6765207	1006582295	148.79	151.0	59.01	7.68	151	100
Index059	3545544	527558096	148.79	151.0	58.78	7.67	151	100
Index060	8275386	1231183296	148.78	151.0	59.02	7.68	151	100
Index061	5203933	774098794	148.75	151.0	59.84	7.74	151	100
Index062	5330514	793468065	148.85	151.0	57.47	7.58	151	100
Index063	3072245	456942946	148.73	151.0	60.51	7.78	151	100
Index064	850382	126393151	148.63	151.0	63.47	7.97	151	100
Index065	11612	1706900	146.99	151.0	100.16	10.01	151	100
Index066	1801753	268087658	148.79	151.0	59.26	7.7	151	100
Index067	2197260	326872191	148.76	151.0	59.31	7.7	151	100
Index069	2445331	363842511	148.79	151.0	59.41	7.71	151	100
Index070	1552100	230876477	148.75	151.0	60.04	7.75	151	100
Index071	3355734	499296002	148.79	151.0	59.01	7.68	151	100
Index072	725443	107875601	148.7	151.0	61.54	7.84	151	100
Index073	14345	2108066	146.95	151.0	100.85	10.04	151	100
Index074	6021149	895798107	148.78	151.0	59.06	7.69	151	100
Index075	4641934	690616618	148.78	151.0	59.18	7.69	151	100
Index076	1711770	254661304	148.77	151.0	59.72	7.73	151	100
Index077	2370748	352799949	148.81	151.0	58.43	7.64	151	100
Index078	583309	86735944	148.7	151.0	62.82	7.93	151	100
Index079	966430	143695376	148.69	151.0	62.48	7.9	151	100
Index080	3369687	501667384	148.88	151.0	56.75	7.53	151	100
Index081	16870	2472948	146.59	151.0	112.23	10.59	151	100
Index082	1086684	161600573	148.71	151.0	62.18	7.89	151	100
Index083	1453461	216171186	148.73	151.0	60.84	7.8	151	100
Index084	643601	95719652	148.73	151.0	61.97	7.87	151	100
Index085	1193531	177531574	148.74	151.0	60.75	7.79	151	100
Index086	2624317	390523708	148.81	151.0	58.59	7.65	151	100
Index087	459391	68168540	148.39	151.0	70.57	8.4	151	100
Index109	693402	103134822	148.74	151.0	61.72	7.86	151	100
Index110	4940804	735669585	148.9	151.0	56.1	7.49	151	100
Index111	6989756	1040972380	148.93	151.0	55.47	7.45	151	100
Index112	5675549	844560120	148.81	151.0	59.11	7.69	151	100
Index113	3660611	545089538	148.91	151.0	56.4	7.51	151	100
Index114	1037550	154465299	148.88	151.0	56.93	7.55	151	100
Index115	3091107	460122708	148.85	151.0	57.49	7.58	151	100
Index116	7529164	1120302342	148.8	151.0	59.05	7.68	151	100
Index117	13533	1990473	147.08	151.0	98.68	9.93	151	100
Index118	13281349	1976636621	148.83	151.0	57.53	7.58	151	100
Index119	4451909	662714590	148.86	151.0	57.67	7.59	151	100
Index120	10596015	1577116459	148.84	151.0	57.23	7.57	151	100
Index121	9290639	1382413556	148.8	151.0	58.67	7.66	151	100
Index122	4449313	662412358	148.88	151.0	56.87	7.54	151	100
Index123	9668099	1439390290	148.88	151.0	56.83	7.54	151	100
Index124	4053807	603658915	148.91	151.0	56.04	7.49	151	100
Index125	237730	35373099	148.8	151.0	59.37	7.7	151	100
Index126	8311209	1237422947	148.89	151.0	56.71	7.53	151	100
Index127	1174144	174618220	148.72	151.0	61.38	7.83	151	100
Index128	4501844	670321727	148.9	151.0	56.31	7.5	151	100
Index129	2616715	389481449	148.84	151.0	57.77	7.6	151	100
Index130	3028026	450521463	148.78	151.0	59.58	7.72	151	100
Index131	8349913	1243604272	148.94	151.0	55.56	7.45	151	100
Index132	6281756	934845213	148.82	151.0	57.94	7.61	151	100
Index133	12264	1800708	146.83	151.0	105.5	10.27	151	100
Index134	2920470	434298800	148.71	151.0	61.93	7.87	151	100
Index135	2393487	356209646	148.82	151.0	58.18	7.63	151	100
Index136	5933305	882735580	148.78	151.0	58.81	7.67	151	100
Index137	15130	2208993	146.0	151.0	131.32	11.46	151	100
Index138	15589	2271771	145.73	151.0	135.98	11.66	151	100
Index139	10245	1499573	146.37	151.0	121.44	11.02	151	100
Index140	28398	4197306	147.8	151.0	86.04	9.28	151	100
Index028	190656	28277990	148.32	151.0	74.72	8.64	151	100
Index048	3314495	493196312	148.8	151.0	58.68	7.66	151	100
Index068	1285298	191135741	148.71	151.0	61.38	7.83	151	100
Index088	820843	122109682	148.76	151.0	60.72	7.79	151	100
Sum	340480826	50666417826	148.81	151.0	58.54	7.65	151	100
